year,name,value,lastValue,group,subgroup
26-Jun-2017,T-series,20536073,20496881,Indian Uncle's,Indian Uncle's
26-Jun-2017,Pewdiepie,55880908,55869672,9 year old army,9 year old army
27-Jun-2017,T-series,20579817,20536073,Indian Uncle's,Indian Uncle's
27-Jun-2017,Pewdiepie,55899328,55880908,9 year old army,9 year old army
28-Jun-2017,T-series,20624073,20579817,Indian Uncle's,Indian Uncle's
28-Jun-2017,Pewdiepie,55920191,55899328,9 year old army,9 year old army
29-Jun-2017,T-series,20669045,20624073,Indian Uncle's,Indian Uncle's
29-Jun-2017,Pewdiepie,55939904,55920191,9 year old army,9 year old army
30-Jun-2017,T-series,20713271,20669045,Indian Uncle's,Indian Uncle's
30-Jun-2017,Pewdiepie,55962256,55939904,9 year old army,9 year old army
1-Jul-2017,T-series,20758279,20713271,Indian Uncle's,Indian Uncle's
1-Jul-2017,Pewdiepie,55987012,55962256,9 year old army,9 year old army
2-Jul-2017,T-series,20804360,20758279,Indian Uncle's,Indian Uncle's
2-Jul-2017,Pewdiepie,56006641,55987012,9 year old army,9 year old army
3-Jul-2017,T-series,20839639,20804360,Indian Uncle's,Indian Uncle's
3-Jul-2017,Pewdiepie,56020615,56006641,9 year old army,9 year old army
4-Jul-2017,T-series,20893278,20839639,Indian Uncle's,Indian Uncle's
4-Jul-2017,Pewdiepie,56039598,56020615,9 year old army,9 year old army
5-Jul-2017,T-series,20936246,20893278,Indian Uncle's,Indian Uncle's
5-Jul-2017,Pewdiepie,56057136,56039598,9 year old army,9 year old army
6-Jul-2017,T-series,20982015,20936246,Indian Uncle's,Indian Uncle's
6-Jul-2017,Pewdiepie,56080700,56057136,9 year old army,9 year old army
7-Jul-2017,T-series,21026163,20982015,Indian Uncle's,Indian Uncle's
7-Jul-2017,Pewdiepie,56101590,56080700,9 year old army,9 year old army
8-Jul-2017,T-series,21074054,21026163,Indian Uncle's,Indian Uncle's
8-Jul-2017,Pewdiepie,56119132,56101590,9 year old army,9 year old army
9-Jul-2017,T-series,21123257,21074054,Indian Uncle's,Indian Uncle's
9-Jul-2017,Pewdiepie,56138096,56119132,9 year old army,9 year old army
10-Jul-2017,T-series,21173142,21123257,Indian Uncle's,Indian Uncle's
10-Jul-2017,Pewdiepie,56157133,56138096,9 year old army,9 year old army
11-Jul-2017,T-series,21212742,21173142,Indian Uncle's,Indian Uncle's
11-Jul-2017,Pewdiepie,56175522,56157133,9 year old army,9 year old army
12-Jul-2017,T-series,21253482,21212742,Indian Uncle's,Indian Uncle's
12-Jul-2017,Pewdiepie,56193529,56175522,9 year old army,9 year old army
13-Jul-2017,T-series,21300749,21253482,Indian Uncle's,Indian Uncle's
13-Jul-2017,Pewdiepie,56215133,56193529,9 year old army,9 year old army
14-Jul-2017,T-series,21351659,21300749,Indian Uncle's,Indian Uncle's
14-Jul-2017,Pewdiepie,56231790,56215133,9 year old army,9 year old army
15-Jul-2017,T-series,21405118,21351659,Indian Uncle's,Indian Uncle's
15-Jul-2017,Pewdiepie,56249718,56231790,9 year old army,9 year old army
16-Jul-2017,T-series,21453099,21405118,Indian Uncle's,Indian Uncle's
16-Jul-2017,Pewdiepie,56264757,56249718,9 year old army,9 year old army
17-Jul-2017,T-series,21504912,21453099,Indian Uncle's,Indian Uncle's
17-Jul-2017,Pewdiepie,56283724,56264757,9 year old army,9 year old army
18-Jul-2017,T-series,21556888,21504912,Indian Uncle's,Indian Uncle's
18-Jul-2017,Pewdiepie,56303487,56283724,9 year old army,9 year old army
19-Jul-2017,T-series,21608247,21556888,Indian Uncle's,Indian Uncle's
19-Jul-2017,Pewdiepie,56319513,56303487,9 year old army,9 year old army
20-Jul-2017,T-series,21667698,21608247,Indian Uncle's,Indian Uncle's
20-Jul-2017,Pewdiepie,56338343,56319513,9 year old army,9 year old army
21-Jul-2017,T-series,21721539,21667698,Indian Uncle's,Indian Uncle's
21-Jul-2017,Pewdiepie,56359432,56338343,9 year old army,9 year old army
22-Jul-2017,T-series,21777390,21721539,Indian Uncle's,Indian Uncle's
22-Jul-2017,Pewdiepie,56386343,56359432,9 year old army,9 year old army
23-Jul-2017,T-series,21832131,21777390,Indian Uncle's,Indian Uncle's
23-Jul-2017,Pewdiepie,56410910,56386343,9 year old army,9 year old army
24-Jul-2017,T-series,21885471,21832131,Indian Uncle's,Indian Uncle's
24-Jul-2017,Pewdiepie,56447616,56410910,9 year old army,9 year old army
25-Jul-2017,T-series,21950667,21885471,Indian Uncle's,Indian Uncle's
25-Jul-2017,Pewdiepie,56492595,56447616,9 year old army,9 year old army
26-Jul-2017,T-series,22006052,21950667,Indian Uncle's,Indian Uncle's
26-Jul-2017,Pewdiepie,56522388,56492595,9 year old army,9 year old army
27-Jul-2017,T-series,22061610,22006052,Indian Uncle's,Indian Uncle's
27-Jul-2017,Pewdiepie,56550062,56522388,9 year old army,9 year old army
28-Jul-2017,T-series,22115311,22061610,Indian Uncle's,Indian Uncle's
28-Jul-2017,Pewdiepie,56573628,56550062,9 year old army,9 year old army
29-Jul-2017,T-series,22170700,22115311,Indian Uncle's,Indian Uncle's
29-Jul-2017,Pewdiepie,56591358,56573628,9 year old army,9 year old army
30-Jul-2017,T-series,22226744,22170700,Indian Uncle's,Indian Uncle's
30-Jul-2017,Pewdiepie,56612955,56591358,9 year old army,9 year old army
31-Jul-2017,T-series,22259495,22226744,Indian Uncle's,Indian Uncle's
31-Jul-2017,Pewdiepie,56610711,56612955,9 year old army,9 year old army
1-Aug-2017,T-series,22307363,22259495,Indian Uncle's,Indian Uncle's
1-Aug-2017,Pewdiepie,56632724,56610711,9 year old army,9 year old army
2-Aug-2017,T-series,22354113,22307363,Indian Uncle's,Indian Uncle's
2-Aug-2017,Pewdiepie,56659834,56632724,9 year old army,9 year old army
3-Aug-2017,T-series,22406810,22354113,Indian Uncle's,Indian Uncle's
3-Aug-2017,Pewdiepie,56683976,56659834,9 year old army,9 year old army
4-Aug-2017,T-series,22463853,22406810,Indian Uncle's,Indian Uncle's
4-Aug-2017,Pewdiepie,56705677,56683976,9 year old army,9 year old army
5-Aug-2017,T-series,22511587,22463853,Indian Uncle's,Indian Uncle's
5-Aug-2017,Pewdiepie,56729791,56705677,9 year old army,9 year old army
6-Aug-2017,T-series,22567098,22511587,Indian Uncle's,Indian Uncle's
6-Aug-2017,Pewdiepie,56743013,56729791,9 year old army,9 year old army
7-Aug-2017,T-series,22618538,22567098,Indian Uncle's,Indian Uncle's
7-Aug-2017,Pewdiepie,56764295,56743013,9 year old army,9 year old army
8-Aug-2017,T-series,22673859,22618538,Indian Uncle's,Indian Uncle's
8-Aug-2017,Pewdiepie,56773762,56764295,9 year old army,9 year old army
9-Aug-2017,T-series,22726986,22673859,Indian Uncle's,Indian Uncle's
9-Aug-2017,Pewdiepie,56790467,56773762,9 year old army,9 year old army
10-Aug-2017,T-series,22785579,22726986,Indian Uncle's,Indian Uncle's
10-Aug-2017,Pewdiepie,56812828,56790467,9 year old army,9 year old army
11-Aug-2017,T-series,22842759,22785579,Indian Uncle's,Indian Uncle's
11-Aug-2017,Pewdiepie,56837340,56812828,9 year old army,9 year old army
12-Aug-2017,T-series,22898106,22842759,Indian Uncle's,Indian Uncle's
12-Aug-2017,Pewdiepie,56859584,56837340,9 year old army,9 year old army
13-Aug-2017,T-series,22951755,22898106,Indian Uncle's,Indian Uncle's
13-Aug-2017,Pewdiepie,56874193,56859584,9 year old army,9 year old army
14-Aug-2017,T-series,23005116,22951755,Indian Uncle's,Indian Uncle's
14-Aug-2017,Pewdiepie,56891565,56874193,9 year old army,9 year old army
15-Aug-2017,T-series,23056911,23005116,Indian Uncle's,Indian Uncle's
15-Aug-2017,Pewdiepie,56904158,56891565,9 year old army,9 year old army
16-Aug-2017,T-series,23105326,23056911,Indian Uncle's,Indian Uncle's
16-Aug-2017,Pewdiepie,56915107,56904158,9 year old army,9 year old army
17-Aug-2017,T-series,23158189,23105326,Indian Uncle's,Indian Uncle's
17-Aug-2017,Pewdiepie,56937976,56915107,9 year old army,9 year old army
18-Aug-2017,T-series,23216342,23158189,Indian Uncle's,Indian Uncle's
18-Aug-2017,Pewdiepie,56958313,56937976,9 year old army,9 year old army
19-Aug-2017,T-series,23271561,23216342,Indian Uncle's,Indian Uncle's
19-Aug-2017,Pewdiepie,56980088,56958313,9 year old army,9 year old army
20-Aug-2017,T-series,23324523,23271561,Indian Uncle's,Indian Uncle's
20-Aug-2017,Pewdiepie,57002836,56980088,9 year old army,9 year old army
21-Aug-2017,T-series,23371738,23324523,Indian Uncle's,Indian Uncle's
21-Aug-2017,Pewdiepie,57020000,57002836,9 year old army,9 year old army
22-Aug-2017,T-series,23417926,23371738,Indian Uncle's,Indian Uncle's
22-Aug-2017,Pewdiepie,57031955,57020000,9 year old army,9 year old army
23-Aug-2017,T-series,23466183,23417926,Indian Uncle's,Indian Uncle's
23-Aug-2017,Pewdiepie,57050315,57031955,9 year old army,9 year old army
24-Aug-2017,T-series,23516506,23466183,Indian Uncle's,Indian Uncle's
24-Aug-2017,Pewdiepie,57068810,57050315,9 year old army,9 year old army
25-Aug-2017,T-series,23571376,23516506,Indian Uncle's,Indian Uncle's
25-Aug-2017,Pewdiepie,57080397,57068810,9 year old army,9 year old army
26-Aug-2017,T-series,23622996,23571376,Indian Uncle's,Indian Uncle's
26-Aug-2017,Pewdiepie,57095984,57080397,9 year old army,9 year old army
27-Aug-2017,T-series,23673664,23622996,Indian Uncle's,Indian Uncle's
27-Aug-2017,Pewdiepie,57111167,57095984,9 year old army,9 year old army
28-Aug-2017,T-series,23715416,23673664,Indian Uncle's,Indian Uncle's
28-Aug-2017,Pewdiepie,57121095,57111167,9 year old army,9 year old army
29-Aug-2017,T-series,23761471,23715416,Indian Uncle's,Indian Uncle's
29-Aug-2017,Pewdiepie,57125366,57121095,9 year old army,9 year old army
30-Aug-2017,T-series,23808205,23761471,Indian Uncle's,Indian Uncle's
30-Aug-2017,Pewdiepie,57138185,57125366,9 year old army,9 year old army
31-Aug-2017,T-series,23859529,23808205,Indian Uncle's,Indian Uncle's
31-Aug-2017,Pewdiepie,57150023,57138185,9 year old army,9 year old army
1-Sep-2017,T-series,23911750,23859529,Indian Uncle's,Indian Uncle's
1-Sep-2017,Pewdiepie,57164846,57150023,9 year old army,9 year old army
2-Sep-2017,T-series,23965016,23911750,Indian Uncle's,Indian Uncle's
2-Sep-2017,Pewdiepie,57178581,57164846,9 year old army,9 year old army
3-Sep-2017,T-series,24019969,23965016,Indian Uncle's,Indian Uncle's
3-Sep-2017,Pewdiepie,57190810,57178581,9 year old army,9 year old army
4-Sep-2017,T-series,24074520,24019969,Indian Uncle's,Indian Uncle's
4-Sep-2017,Pewdiepie,57200543,57190810,9 year old army,9 year old army
5-Sep-2017,T-series,24124545,24074520,Indian Uncle's,Indian Uncle's
5-Sep-2017,Pewdiepie,57208847,57200543,9 year old army,9 year old army
6-Sep-2017,T-series,24169809,24124545,Indian Uncle's,Indian Uncle's
6-Sep-2017,Pewdiepie,57217148,57208847,9 year old army,9 year old army
7-Sep-2017,T-series,24221051,24169809,Indian Uncle's,Indian Uncle's
7-Sep-2017,Pewdiepie,57227799,57217148,9 year old army,9 year old army
8-Sep-2017,T-series,24271190,24221051,Indian Uncle's,Indian Uncle's
8-Sep-2017,Pewdiepie,57233504,57227799,9 year old army,9 year old army
9-Sep-2017,T-series,24321371,24271190,Indian Uncle's,Indian Uncle's
9-Sep-2017,Pewdiepie,57240225,57233504,9 year old army,9 year old army
10-Sep-2017,T-series,24377531,24321371,Indian Uncle's,Indian Uncle's
10-Sep-2017,Pewdiepie,57247786,57240225,9 year old army,9 year old army
11-Sep-2017,T-series,24422975,24377531,Indian Uncle's,Indian Uncle's
11-Sep-2017,Pewdiepie,57249617,57247786,9 year old army,9 year old army
12-Sep-2017,T-series,24469684,24422975,Indian Uncle's,Indian Uncle's
12-Sep-2017,Pewdiepie,57261242,57249617,9 year old army,9 year old army
13-Sep-2017,T-series,24514155,24469684,Indian Uncle's,Indian Uncle's
13-Sep-2017,Pewdiepie,57272438,57261242,9 year old army,9 year old army
14-Sep-2017,T-series,24563840,24514155,Indian Uncle's,Indian Uncle's
14-Sep-2017,Pewdiepie,57281911,57272438,9 year old army,9 year old army
15-Sep-2017,T-series,24614063,24563840,Indian Uncle's,Indian Uncle's
15-Sep-2017,Pewdiepie,57292351,57281911,9 year old army,9 year old army
16-Sep-2017,T-series,24668608,24614063,Indian Uncle's,Indian Uncle's
16-Sep-2017,Pewdiepie,57303109,57292351,9 year old army,9 year old army
17-Sep-2017,T-series,24724690,24668608,Indian Uncle's,Indian Uncle's
17-Sep-2017,Pewdiepie,57311816,57303109,9 year old army,9 year old army
18-Sep-2017,T-series,24771422,24724690,Indian Uncle's,Indian Uncle's
18-Sep-2017,Pewdiepie,57312547,57311816,9 year old army,9 year old army
19-Sep-2017,T-series,24819610,24771422,Indian Uncle's,Indian Uncle's
19-Sep-2017,Pewdiepie,57314362,57312547,9 year old army,9 year old army
20-Sep-2017,T-series,24869481,24819610,Indian Uncle's,Indian Uncle's
20-Sep-2017,Pewdiepie,57317534,57314362,9 year old army,9 year old army
21-Sep-2017,T-series,24915428,24869481,Indian Uncle's,Indian Uncle's
21-Sep-2017,Pewdiepie,57318707,57317534,9 year old army,9 year old army
22-Sep-2017,T-series,24963844,24915428,Indian Uncle's,Indian Uncle's
22-Sep-2017,Pewdiepie,57322388,57318707,9 year old army,9 year old army
23-Sep-2017,T-series,25012665,24963844,Indian Uncle's,Indian Uncle's
23-Sep-2017,Pewdiepie,57330364,57322388,9 year old army,9 year old army
24-Sep-2017,T-series,25064290,25012665,Indian Uncle's,Indian Uncle's
24-Sep-2017,Pewdiepie,57338745,57330364,9 year old army,9 year old army
25-Sep-2017,T-series,25112470,25064290,Indian Uncle's,Indian Uncle's
25-Sep-2017,Pewdiepie,57343713,57338745,9 year old army,9 year old army
26-Sep-2017,T-series,25159980,25112470,Indian Uncle's,Indian Uncle's
26-Sep-2017,Pewdiepie,57346098,57343713,9 year old army,9 year old army
27-Sep-2017,T-series,25207468,25159980,Indian Uncle's,Indian Uncle's
27-Sep-2017,Pewdiepie,57348566,57346098,9 year old army,9 year old army
28-Sep-2017,T-series,25258194,25207468,Indian Uncle's,Indian Uncle's
28-Sep-2017,Pewdiepie,57349076,57348566,9 year old army,9 year old army
29-Sep-2017,T-series,25318370,25258194,Indian Uncle's,Indian Uncle's
29-Sep-2017,Pewdiepie,57356230,57349076,9 year old army,9 year old army
30-Sep-2017,T-series,25371959,25318370,Indian Uncle's,Indian Uncle's
30-Sep-2017,Pewdiepie,57365242,57356230,9 year old army,9 year old army
1-Oct-2017,T-series,25425240,25371959,Indian Uncle's,Indian Uncle's
1-Oct-2017,Pewdiepie,57373622,57365242,9 year old army,9 year old army
2-Oct-2017,T-series,25480111,25425240,Indian Uncle's,Indian Uncle's
2-Oct-2017,Pewdiepie,57382509,57373622,9 year old army,9 year old army
3-Oct-2017,T-series,25527667,25480111,Indian Uncle's,Indian Uncle's
3-Oct-2017,Pewdiepie,57396790,57382509,9 year old army,9 year old army
4-Oct-2017,T-series,25581072,25527667,Indian Uncle's,Indian Uncle's
4-Oct-2017,Pewdiepie,57411342,57396790,9 year old army,9 year old army
5-Oct-2017,T-series,25634885,25581072,Indian Uncle's,Indian Uncle's
5-Oct-2017,Pewdiepie,57421080,57411342,9 year old army,9 year old army
6-Oct-2017,T-series,25686646,25634885,Indian Uncle's,Indian Uncle's
6-Oct-2017,Pewdiepie,57432463,57421080,9 year old army,9 year old army
7-Oct-2017,T-series,25738824,25686646,Indian Uncle's,Indian Uncle's
7-Oct-2017,Pewdiepie,57445824,57432463,9 year old army,9 year old army
8-Oct-2017,T-series,25794399,25738824,Indian Uncle's,Indian Uncle's
8-Oct-2017,Pewdiepie,57455635,57445824,9 year old army,9 year old army
9-Oct-2017,T-series,25843526,25794399,Indian Uncle's,Indian Uncle's
9-Oct-2017,Pewdiepie,57467949,57455635,9 year old army,9 year old army
10-Oct-2017,T-series,25888999,25843526,Indian Uncle's,Indian Uncle's
10-Oct-2017,Pewdiepie,57477457,57467949,9 year old army,9 year old army
11-Oct-2017,T-series,25938088,25888999,Indian Uncle's,Indian Uncle's
11-Oct-2017,Pewdiepie,57486448,57477457,9 year old army,9 year old army
12-Oct-2017,T-series,25990399,25938088,Indian Uncle's,Indian Uncle's
12-Oct-2017,Pewdiepie,57496880,57486448,9 year old army,9 year old army
13-Oct-2017,T-series,26044685,25990399,Indian Uncle's,Indian Uncle's
13-Oct-2017,Pewdiepie,57507960,57496880,9 year old army,9 year old army
14-Oct-2017,T-series,26104309,26044685,Indian Uncle's,Indian Uncle's
14-Oct-2017,Pewdiepie,57521365,57507960,9 year old army,9 year old army
15-Oct-2017,T-series,26163519,26104309,Indian Uncle's,Indian Uncle's
15-Oct-2017,Pewdiepie,57528922,57521365,9 year old army,9 year old army
16-Oct-2017,T-series,26215301,26163519,Indian Uncle's,Indian Uncle's
16-Oct-2017,Pewdiepie,57537081,57528922,9 year old army,9 year old army
17-Oct-2017,T-series,26274759,26215301,Indian Uncle's,Indian Uncle's
17-Oct-2017,Pewdiepie,57549107,57537081,9 year old army,9 year old army
18-Oct-2017,T-series,26333031,26274759,Indian Uncle's,Indian Uncle's
18-Oct-2017,Pewdiepie,57558375,57549107,9 year old army,9 year old army
19-Oct-2017,T-series,26390776,26333031,Indian Uncle's,Indian Uncle's
19-Oct-2017,Pewdiepie,57567198,57558375,9 year old army,9 year old army
20-Oct-2017,T-series,26450228,26390776,Indian Uncle's,Indian Uncle's
20-Oct-2017,Pewdiepie,57579882,57567198,9 year old army,9 year old army
21-Oct-2017,T-series,26511782,26450228,Indian Uncle's,Indian Uncle's
21-Oct-2017,Pewdiepie,57594707,57579882,9 year old army,9 year old army
22-Oct-2017,T-series,26569094,26511782,Indian Uncle's,Indian Uncle's
22-Oct-2017,Pewdiepie,57607895,57594707,9 year old army,9 year old army
23-Oct-2017,T-series,26618880,26569094,Indian Uncle's,Indian Uncle's
23-Oct-2017,Pewdiepie,57615829,57607895,9 year old army,9 year old army
24-Oct-2017,T-series,26666517,26618880,Indian Uncle's,Indian Uncle's
24-Oct-2017,Pewdiepie,57624837,57615829,9 year old army,9 year old army
25-Oct-2017,T-series,26728697,26666517,Indian Uncle's,Indian Uncle's
25-Oct-2017,Pewdiepie,57633589,57624837,9 year old army,9 year old army
26-Oct-2017,T-series,26793496,26728697,Indian Uncle's,Indian Uncle's
26-Oct-2017,Pewdiepie,57644376,57633589,9 year old army,9 year old army
27-Oct-2017,T-series,26852073,26793496,Indian Uncle's,Indian Uncle's
27-Oct-2017,Pewdiepie,57656864,57644376,9 year old army,9 year old army
28-Oct-2017,T-series,26912580,26852073,Indian Uncle's,Indian Uncle's
28-Oct-2017,Pewdiepie,57670321,57656864,9 year old army,9 year old army
29-Oct-2017,T-series,26974079,26912580,Indian Uncle's,Indian Uncle's
29-Oct-2017,Pewdiepie,57683375,57670321,9 year old army,9 year old army
30-Oct-2017,T-series,27025880,26974079,Indian Uncle's,Indian Uncle's
30-Oct-2017,Pewdiepie,57696805,57683375,9 year old army,9 year old army
31-Oct-2017,T-series,27076523,27025880,Indian Uncle's,Indian Uncle's
31-Oct-2017,Pewdiepie,57707465,57696805,9 year old army,9 year old army
1-Nov-2017,T-series,27131071,27076523,Indian Uncle's,Indian Uncle's
1-Nov-2017,Pewdiepie,57718369,57707465,9 year old army,9 year old army
